,Unnamed: 0,year,month,day,posit,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,duration_ms,time_signature
0,0,2020.0,1.0,4.0,1.0,All I Want For Christmas Is You,Mariah Carey,0.335,0.625,7.0,-7.462,1.0,0.0386,0.164,0.0,0.0708,0.346,150.277,audio_features,spotify:track:0bYg9bo50gSsH3LtXe2SQn,241107.0,4.0
1,100,2020.0,1.0,11.0,1.0,Circles,Post Malone,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,215280.0,4.0
2,200,2020.0,1.0,18.0,1.0,The Box,Roddy Ricch,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,196653.0,4.0
3,300,2020.0,1.0,25.0,1.0,The Box,Roddy Ricch,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,196653.0,4.0
4,400,2020.0,2.0,1.0,1.0,The Box,Roddy Ricch,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,196653.0,4.0
5,500,2020.0,2.0,8.0,1.0,The Box,Roddy Ricch,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,196653.0,4.0
6,600,2020.0,2.0,15.0,1.0,The Box,Roddy Ricch,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,196653.0,4.0
7,0,2019.0,1.0,5.0,1.0,"Thank U, Next",Ariana Grande,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,207320.0,4.0
8,100,2019.0,1.0,12.0,1.0,Without Me,Halsey,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,201661.0,4.0
9,200,2019.0,1.0,19.0,1.0,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,158040.0,4.0
10,300,2019.0,1.0,26.0,1.0,Without Me,Halsey,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,201661.0,4.0
11,400,2019.0,2.0,2.0,1.0,7 Rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,178627.0,4.0
12,500,2019.0,2.0,9.0,1.0,7 Rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,178627.0,4.0
13,600,2019.0,2.0,16.0,1.0,7 Rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,178627.0,4.0
14,700,2019.0,2.0,23.0,1.0,7 Rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,178627.0,4.0
15,800,2019.0,3.0,2.0,1.0,7 Rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,178627.0,4.0
16,900,2019.0,3.0,9.0,1.0,Shallow,Lady Gaga & Bradley Cooper,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,215733.0,4.0
17,1000,2019.0,3.0,16.0,1.0,Sucker,Jonas Brothers,0.842,0.734,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,audio_features,spotify:track:22vgEDb5hykfaTwLuskFGD,181027.0,4.0
18,1100,2019.0,3.0,23.0,1.0,7 Rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,178627.0,4.0
19,1200,2019.0,3.0,30.0,1.0,7 Rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,178627.0,4.0
20,1300,2019.0,4.0,6.0,1.0,7 Rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,178627.0,4.0
21,1400,2019.0,4.0,13.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
22,1500,2019.0,4.0,20.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
23,1600,2019.0,4.0,27.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
24,1700,2019.0,5.0,4.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
25,1800,2019.0,5.0,11.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
26,1900,2019.0,5.0,18.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
27,2000,2019.0,5.0,25.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
28,2100,2019.0,6.0,1.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
29,2200,2019.0,6.0,8.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
30,2300,2019.0,6.0,15.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
31,2400,2019.0,6.0,22.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
32,2500,2019.0,6.0,29.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
33,2600,2019.0,7.0,6.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
34,2700,2019.0,7.0,13.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
35,2800,2019.0,7.0,20.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
36,2900,2019.0,7.0,27.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
37,3000,2019.0,8.0,3.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
38,3100,2019.0,8.0,10.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
39,3200,2019.0,8.0,17.0,1.0,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,157067.0,4.0
40,3300,2019.0,8.0,24.0,1.0,Bad Guy,Billie Eilish,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,194088.0,4.0
41,3400,2019.0,8.0,31.0,1.0,Senorita,Shawn Mendes & Camila Cabello,0.759,0.54,9.0,-6.039,0.0,0.0287,0.037,0.0,0.0945,0.75,116.947,audio_features,spotify:track:0TK2YIli7K1leLovkQiNik,190960.0,4.0
42,3500,2019.0,9.0,7.0,1.0,Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,spotify:track:3HWzoMvoF3TQfYg4UPszDq,173325.0,4.0
43,3600,2019.0,9.0,14.0,1.0,Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,spotify:track:3HWzoMvoF3TQfYg4UPszDq,173325.0,4.0
44,3700,2019.0,9.0,21.0,1.0,Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,spotify:track:3HWzoMvoF3TQfYg4UPszDq,173325.0,4.0
45,3800,2019.0,9.0,28.0,1.0,Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,spotify:track:3HWzoMvoF3TQfYg4UPszDq,173325.0,4.0
46,3900,2019.0,10.0,5.0,1.0,Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,spotify:track:3HWzoMvoF3TQfYg4UPszDq,173325.0,4.0
47,4000,2019.0,10.0,12.0,1.0,Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,spotify:track:3HWzoMvoF3TQfYg4UPszDq,173325.0,4.0
48,4100,2019.0,10.0,19.0,1.0,HIGHEST IN THE ROOM,Travis Scott,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,audio_features,spotify:track:3eekarcy7kvN4yt5ZFzltW,175721.0,4.0
49,4200,2019.0,10.0,26.0,1.0,Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,spotify:track:3HWzoMvoF3TQfYg4UPszDq,173325.0,4.0
50,4300,2019.0,11.0,2.0,1.0,Someone You Loved,Lewis Capaldi,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,audio_features,spotify:track:7qEHsqek33rTcFNT9PFqLf,182161.0,4.0
51,4400,2019.0,11.0,9.0,1.0,Lose You To Love Me,Selena Gomez,0.488,0.343,4.0,-8.985,1.0,0.0436,0.556,0.0,0.21,0.0978,102.819,audio_features,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,206459.0,4.0
52,4500,2019.0,11.0,16.0,1.0,Someone You Loved,Lewis Capaldi,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,audio_features,spotify:track:7qEHsqek33rTcFNT9PFqLf,182161.0,4.0
53,4600,2019.0,11.0,23.0,1.0,Someone You Loved,Lewis Capaldi,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,audio_features,spotify:track:7qEHsqek33rTcFNT9PFqLf,182161.0,4.0
54,4700,2019.0,11.0,30.0,1.0,Circles,Post Malone,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,215280.0,4.0
55,4800,2019.0,12.0,7.0,1.0,Circles,Post Malone,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,215280.0,4.0
56,4900,2019.0,12.0,14.0,1.0,Heartless,The Weeknd,0.531,0.75,10.0,-5.831,0.0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,audio_features,spotify:track:57vxBYXtHMk6H1aD29V7PU,200080.0,4.0
57,5000,2019.0,12.0,21.0,1.0,All I Want For Christmas Is You,Mariah Carey,0.335,0.625,7.0,-7.462,1.0,0.0386,0.164,0.0,0.0708,0.346,150.277,audio_features,spotify:track:0bYg9bo50gSsH3LtXe2SQn,241107.0,4.0
58,5100,2019.0,12.0,28.0,1.0,All I Want For Christmas Is You,Mariah Carey,0.335,0.625,7.0,-7.462,1.0,0.0386,0.164,0.0,0.0708,0.346,150.277,audio_features,spotify:track:0bYg9bo50gSsH3LtXe2SQn,241107.0,4.0
59,0,2018.0,1.0,3.0,1.0,Perfect,Ed Sheeran,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,263400.0,3.0
60,100,2018.0,1.0,6.0,1.0,Perfect,Ed Sheeran,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,263400.0,3.0
61,200,2018.0,1.0,13.0,1.0,Perfect,Ed Sheeran,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,263400.0,3.0
62,300,2018.0,1.0,20.0,1.0,Perfect,Ed Sheeran,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,263400.0,3.0
63,400,2018.0,1.0,27.0,1.0,Havana,Camila Cabello Featuring Young Thug,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W,217307.0,4.0
64,500,2018.0,2.0,3.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
65,600,2018.0,2.0,10.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
66,700,2018.0,2.0,17.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
67,800,2018.0,2.0,24.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
68,900,2018.0,3.0,3.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
69,1000,2018.0,3.0,10.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
70,1100,2018.0,3.0,17.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
71,1200,2018.0,3.0,24.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
72,1300,2018.0,3.0,31.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
73,1400,2018.0,4.0,7.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
74,1500,2018.0,4.0,14.0,1.0,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
75,1600,2018.0,4.0,21.0,1.0,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,210747.0,4.0
76,1700,2018.0,4.0,28.0,1.0,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,210747.0,4.0
77,1800,2018.0,5.0,5.0,1.0,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,210747.0,4.0
78,1900,2018.0,5.0,12.0,1.0,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,210747.0,4.0
79,2000,2018.0,5.0,19.0,1.0,This Is America,Childish Gambino,0.854,0.463,5.0,-6.159,1.0,0.137,0.117,0.0,0.354,0.549,120.024,audio_features,spotify:track:0b9oOr2ZgvyQu88wzixux9,225773.0,4.0
80,2100,2018.0,5.0,26.0,1.0,This Is America,Childish Gambino,0.854,0.463,5.0,-6.159,1.0,0.137,0.117,0.0,0.354,0.549,120.024,audio_features,spotify:track:0b9oOr2ZgvyQu88wzixux9,225773.0,4.0
81,2200,2018.0,6.0,2.0,1.0,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,210747.0,4.0
82,2300,2018.0,6.0,9.0,1.0,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,210747.0,4.0
83,2400,2018.0,6.0,16.0,1.0,Psycho,Post Malone Featuring Ty Dolla $ign,0.75,0.56,8.0,-8.094,1.0,0.105,0.546,0.0,0.111,0.459,140.06,audio_features,spotify:track:3swc6WTsr7rl9DqQKQA55C,221440.0,4.0
84,2500,2018.0,6.0,23.0,1.0,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,210747.0,4.0
85,2600,2018.0,6.0,30.0,1.0,Sad!,XXXTENTACION,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2,166606.0,4.0
86,2700,2018.0,7.0,7.0,1.0,I Like It,"Cardi B, Bad Bunny & J Balvin",0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,253390.0,4.0
87,2800,2018.0,7.0,14.0,1.0,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,210747.0,4.0
88,2900,2018.0,7.0,21.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
89,3000,2018.0,7.0,28.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
90,3100,2018.0,8.0,4.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
91,3200,2018.0,8.0,11.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
92,3300,2018.0,8.0,18.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
93,3400,2018.0,8.0,25.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
94,3500,2018.0,9.0,1.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
95,3600,2018.0,9.0,8.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
96,3700,2018.0,9.0,15.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
97,3800,2018.0,9.0,22.0,1.0,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925.0,4.0
98,3900,2018.0,9.0,29.0,1.0,Girls Like You,Maroon 5 Featuring Cardi B,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,235545.0,4.0
99,4000,2018.0,10.0,6.0,1.0,Girls Like You,Maroon 5 Featuring Cardi B,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,235545.0,4.0
100,4100,2018.0,10.0,13.0,1.0,Girls Like You,Maroon 5 Featuring Cardi B,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,235545.0,4.0
101,4200,2018.0,10.0,20.0,1.0,Girls Like You,Maroon 5 Featuring Cardi B,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,235545.0,4.0
102,4300,2018.0,10.0,27.0,1.0,Girls Like You,Maroon 5 Featuring Cardi B,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,235545.0,4.0
103,4400,2018.0,11.0,3.0,1.0,Girls Like You,Maroon 5 Featuring Cardi B,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,235545.0,4.0
104,4500,2018.0,11.0,10.0,1.0,Girls Like You,Maroon 5 Featuring Cardi B,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,235545.0,4.0
105,4600,2018.0,11.0,17.0,1.0,"Thank U, Next",Ariana Grande,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,207320.0,4.0
106,4700,2018.0,11.0,24.0,1.0,"Thank U, Next",Ariana Grande,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,207320.0,4.0
107,4800,2018.0,12.0,1.0,1.0,"Thank U, Next",Ariana Grande,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,207320.0,4.0
